tram,model,depot,qty_28_салон-чёрн,qty_41a_пер-светоотр,qty_42_бок-чёрные,qty_42a_бок-белые,qty_42а_зад-белые
30642,71-9311ЕМ,ТРЗ,1,2,4,,2
30643,71-9311ЕМ,ТРЗ,1,2,4,,2
30644,71-9311ЕМ,ТРЗ,1,2,4,,2
30645,71-9311ЕМ,ТРЗ,1,2,4,,2
30646,71-9311ЕМ,ТРЗ,1,2,4,,2
30647,71-9311ЕМ,ТРЗ,1,2,4,,2
30648,71-9311ЕМ,ТРЗ,1,2,4,,2
30649,71-9311ЕМ,ТРЗ,1,2,4,,2
30650,71-9311ЕМ,ТРЗ,1,2,4,,2
30651,71-9311ЕМ,ТРЗ,1,2,4,,2
30652,71-9311ЕМ,ТРЗ,1,2,4,,2
30653,71-9311ЕМ,ТРЗ,1,2,4,,2
30654,71-9311ЕМ,ТРЗ,1,2,4,,2
30655,71-9311ЕМ,ТРЗ,1,2,4,,2
30656,71-9311ЕМ,ТРЗ,1,2,4,,2
30657,71-9311ЕМ,ТРЗ,1,2,4,,2
30658,71-9311ЕМ,ТРЗ,1,2,4,,2
30659,71-9311ЕМ,ТРЗ,1,2,4,,2
30660,71-9311ЕМ,ТРЗ,1,2,4,,2
30661,71-9311ЕМ,ТРЗ,1,2,4,,2
30662,71-9311ЕМ,ТРЗ,1,2,4,,2
30663,71-9311ЕМ,ТРЗ,1,2,4,,2
30664,71-9311ЕМ,ТРЗ,1,2,4,,2
30665,71-9311ЕМ,ТРЗ,1,2,4,,2
30666,71-9311ЕМ,ТРЗ,1,2,4,,2
30667,71-9311ЕМ,ТРЗ,1,2,4,,2
30668,71-9311ЕМ,ТРЗ,1,2,4,,2
30669,71-9311ЕМ,ТРЗ,1,2,4,,2
30670,71-9311ЕМ,ТРЗ,1,2,4,,2
30671,71-9311ЕМ,ТРЗ,1,2,4,,2
30672,71-9311ЕМ,ТРЗ,1,2,4,,2
30673,71-9311ЕМ,ТРЗ,1,2,4,,2
30674,71-9311ЕМ,ТРЗ,1,2,4,,2
30675,71-9311ЕМ,ТРЗ,1,2,4,,2
30676,71-9311ЕМ,ТРЗ,1,2,4,,2
30677,71-9311ЕМ,ТРЗ,1,2,4,,2
30678,71-9311ЕМ,ТРЗ,1,2,4,,2
30679,71-9311ЕМ,ТРЗ,1,2,4,,2
30680,71-9311ЕМ,ТРЗ,1,2,4,,2
30681,71-9311ЕМ,ТРЗ,1,2,4,,2
30682,71-9311ЕМ,ТРЗ,1,2,4,,2
30683,71-9311ЕМ,ТРЗ,1,2,4,,2
30684,71-9311ЕМ,ТРЗ,1,2,4,,2
30685,71-9311ЕМ,ТРЗ,1,2,4,,2
30686,71-9311ЕМ,ТРЗ,1,2,4,,2
30687,71-9311ЕМ,ТРЗ,1,2,4,,2
30688,71-9311ЕМ,ТРЗ,1,2,4,,2
30689,71-9311ЕМ,ТРЗ,1,2,4,,2
30690,71-9311ЕМ,ТРЗ,1,2,4,,2
30691,71-9311ЕМ,ТРЗ,1,2,4,,2
30692,71-9311ЕМ,ТРЗ,1,2,4,,2
30693,71-9311ЕМ,ТРЗ,1,2,4,,2
30694,71-9311ЕМ,ТРЗ,1,2,4,,2
30695,71-9311ЕМ,ТРЗ,1,2,4,,2
30696,71-9311ЕМ,ТРЗ,1,2,4,,2
30697,71-9311ЕМ,ТРЗ,1,2,4,,2
30698,71-9311ЕМ,ТРЗ,1,2,4,,2
30699,71-9311ЕМ,ТРЗ,1,2,4,,2
30700,71-9311ЕМ,ТРЗ,1,2,4,,2
30701,71-9311ЕМ,ТРЗ,1,2,4,,2
30702,71-9311ЕМ,ТРЗ,1,2,4,,2
30703,71-9311ЕМ,ТРЗ,1,2,4,,2
30704,71-9311ЕМ,ТРЗ,1,2,4,,2
30705,71-9311ЕМ,ТРЗ,1,2,4,,2
30706,71-9311ЕМ,ТРЗ,1,2,4,,2
30707,71-9311ЕМ,ТРЗ,1,2,4,,2
30708,71-9311ЕМ,ТРЗ,1,2,4,,2
30709,71-9311ЕМ,ТРЗ,1,2,4,,2
30710,71-9311ЕМ,ТРЗ,1,2,4,,2
30711,71-9311ЕМ,ТРЗ,1,2,4,,2
30712,71-9311ЕМ,ТРЗ,1,2,4,,2
30713,71-9311ЕМ,ТРЗ,1,2,4,,2
30714,71-9311ЕМ,ТРЗ,1,2,4,,2
30715,71-9311ЕМ,ТРЗ,1,2,4,,2
30716,71-9311ЕМ,ТРЗ,1,2,4,,2
30717,71-9311ЕМ,ТРЗ,1,2,4,,2
30718,71-9311ЕМ,ТРЗ,1,2,4,,2
30719,71-9311ЕМ,ТРЗ,1,2,4,,2
30720,71-9311ЕМ,ТРЗ,1,2,4,,2
30721,71-9311ЕМ,ТРЗ,1,2,4,,2
30722,71-9311ЕМ,ТРЗ,1,2,4,,2
30723,71-9311ЕМ,ТРЗ,1,2,4,,2
30724,71-9311ЕМ,ТРЗ,1,2,4,,2
30725,71-9311ЕМ,ТРЗ,1,2,4,,2
30726,71-9311ЕМ,ТРЗ,1,2,4,,2
30727,71-9311ЕМ,ТРЗ,1,2,4,,2
30728,71-9311ЕМ,ТРЗ,1,2,4,,2
30729,71-9311ЕМ,ТРЗ,1,2,4,,2
30730,71-9311ЕМ,ТРЗ,1,2,4,,2
30731,71-9311ЕМ,ТРЗ,1,2,4,,2
30732,71-9311ЕМ,ТРЗ,1,2,4,,2
30733,71-9311ЕМ,ТРЗ,1,2,4,,2
30734,71-9311ЕМ,ТРЗ,1,2,4,,2
30735,71-9311ЕМ,ТРЗ,1,2,4,,2
30736,71-9311ЕМ,ТРЗ,1,2,4,,2
30737,71-9311ЕМ,ТРЗ,1,2,4,,2
30738,71-9311ЕМ,ТРЗ,1,2,4,,2
30739,71-9311ЕМ,ТРЗ,1,2,4,,2
30740,71-9311ЕМ,ТРЗ,1,2,4,,2
30741,71-9311ЕМ,ТРЗ,1,2,4,,2
30742,71-9311ЕМ,ТРЗ,1,2,4,,2
30743,71-9311ЕМ,ТРЗ,1,2,4,,2
30744,71-9311ЕМ,ТРЗ,1,2,4,,2
31001,71-931М,Баумана,1,2,8,,2
31003,71-931М,Баумана,1,2,,8,2
31011,71-931М,Баумана,1,2,,8,2
31013,71-931М,Баумана,1,2,,8,2
31015,71-931М,Баумана,1,2,,8,2
31021,71-931М,Баумана,1,2,,8,2
31026,71-931М,Баумана,1,2,,8,2
31027,71-931М,Баумана,1,2,,8,2
31031,71-931М,Баумана,1,2,,8,2
31032,71-931М,Баумана,1,2,,8,2
31033,71-931М,Баумана,1,2,,8,2
31034,71-931М,Баумана,1,2,,8,2
31036,71-931М,Баумана,1,2,,8,2
31039,71-931М,Баумана,1,2,,8,2
31040,71-931М,Баумана,1,2,,8,2
31041,71-931М,Баумана,1,2,,8,2
31043,71-931М,Баумана,1,2,8,,2
31044,71-931М,Баумана,1,2,8,,2
31045,71-931М,Баумана,1,2,8,,2
31046,71-931М,Баумана,1,2,8,,2
31047,71-931М,Баумана,1,2,8,,2
31048,71-931М,Баумана,1,2,,8,2
31049,71-931М,Баумана,1,2,8,,2
31052,71-931М,Баумана,1,2,,8,2
31054,71-931М,Баумана,1,2,8,,2
31055,71-931М,Баумана,1,2,8,,2
31058,71-931М,Баумана,1,2,8,,2
31059,71-931М,Баумана,1,2,8,,2
31060,71-931М,Баумана,1,2,8,,2
31062,71-931М,Баумана,1,2,8,,2
31064,71-931М,Баумана,1,2,8,,2
31065,71-931М,Баумана,1,2,8,,2
31066,71-931М,Баумана,1,2,8,,2
31067,71-931М,Баумана,1,2,8,,2
31068,71-931М,Баумана,1,2,8,,2
31070,71-931М,Баумана,1,2,8,,2
31073,71-931М,Баумана,1,2,8,,2
31074,71-931М,Баумана,1,2,8,,2
31075,71-931М,Баумана,1,2,8,,2
31076,71-931М,Баумана,1,2,8,,2
31077,71-931М,Баумана,1,2,8,,2
31079,71-931М,Баумана,1,2,8,,2
